,followers,n_posts,posts_per_day,median_interval_min,originals_share,replies_share,boosts_share,media_share,avg_favs,avg_boosts,avg_replies,likes_per_1k_followers
followers,1.0,0.11251966751668624,0.10435104386841765,0.017580655645914153,0.21662943487355357,-0.15995919029514313,-0.21662943487355357,-0.015717506438036627,0.30981311529130107,0.48584123261915446,0.23979535983284764,-0.31063829787234043
n_posts,0.11251966751668624,1.0,0.8141887971511728,-0.5537592943739315,0.10608066978744769,-0.17441568982952246,-0.10608066978744769,0.037972313594129954,-0.08908905926991253,0.030979049162314507,-0.16162861624313196,-0.10869498583574624
posts_per_day,0.10435104386841765,0.8141887971511728,1.0,-0.7239135297199095,0.014380270700577465,-0.1686549842243023,-0.014380270700577465,-0.10323256879608207,-0.3562066322107941,-0.24166333871170811,-0.28170643160953956,-0.35690277237974755
median_interval_min,0.017580655645914153,-0.5537592943739315,-0.7239135297199095,1.0,0.44158961618274184,-0.32535676131206687,-0.44158961618274184,0.03210893068575818,0.30267135772386244,0.3014193173218624,0.04991817978581061,0.17142681417542258
originals_share,0.21662943487355357,0.10608066978744769,0.014380270700577465,0.44158961618274184,1.0,-0.5058533815608026,-1.0,-0.07692584806413731,0.16299148074349873,0.23852045776116385,-0.06885026527209116,-0.04367206800155229
replies_share,-0.15995919029514313,-0.17441568982952246,-0.1686549842243023,-0.32535676131206687,-0.5058533815608026,1.0,0.5058533815608026,0.17916331169507618,0.3153179358570976,-0.043632471547714706,0.6878913411497842,0.46118952822839876
boosts_share,-0.21662943487355357,-0.10608066978744769,-0.014380270700577465,-0.44158961618274184,-1.0,0.5058533815608026,1.0,0.07692584806413731,-0.16299148074349873,-0.23852045776116385,0.06885026527209116,0.04367206800155229
media_share,-0.015717506438036627,0.037972313594129954,-0.10323256879608207,0.03210893068575818,-0.07692584806413731,0.17916331169507618,0.07692584806413731,1.0,0.32298131742621966,0.2612337271430558,0.20519753707079155,0.20772416347557726
avg_favs,0.30981311529130107,-0.08908905926991253,-0.3562066322107941,0.30267135772386244,0.16299148074349873,0.3153179358570976,-0.16299148074349873,0.32298131742621966,1.0,0.8252607149602111,0.7335058221910729,0.699500406235048
avg_boosts,0.48584123261915446,0.030979049162314507,-0.24166333871170811,0.3014193173218624,0.23852045776116385,-0.043632471547714706,-0.23852045776116385,0.2612337271430558,0.8252607149602111,1.0,0.47262739912797097,0.4230366135961323
avg_replies,0.23979535983284764,-0.16162861624313196,-0.28170643160953956,0.04991817978581061,-0.06885026527209116,0.6878913411497842,0.06885026527209116,0.20519753707079155,0.7335058221910729,0.47262739912797097,1.0,0.5137677387346553
likes_per_1k_followers,-0.31063829787234043,-0.10869498583574624,-0.35690277237974755,0.17142681417542258,-0.04367206800155229,0.46118952822839876,0.04367206800155229,0.20772416347557726,0.699500406235048,0.4230366135961323,0.5137677387346553,1.0
